index=145, ans=false, vars=24658, clauses=172632
index=146, ans=false, vars=32833, clauses=200688
index=147, ans=false, vars=38527, clauses=265984
index=148, ans=true, vars=59957, clauses=340066
index=149, ans=false, vars=52849, clauses=310608
index=150, ans=false, vars=28162, clauses=199934
index=151, ans=true, vars=48440, clauses=270616
index=152, ans=true, vars=40927, clauses=245172
index=153, ans=true, vars=83513, clauses=470157
index=154, ans=true, vars=37651, clauses=245861
index=155, ans=false, vars=61383, clauses=330071
index=156, ans=true, vars=43612, clauses=279500
index=157, ans=false, vars=34715, clauses=233318
index=158, ans=false, vars=51712, clauses=294290
index=159, ans=false, vars=15311, clauses=130007
index=160, ans=false, vars=45944, clauses=288748
index=161, ans=false, vars=21714, clauses=164568
index=162, ans=false, vars=39161, clauses=267352
index=163, ans=false, vars=31349, clauses=219054
index=164, ans=true, vars=33390, clauses=224746
index=165, ans=true, vars=43837, clauses=268917
index=166, ans=true, vars=29674, clauses=194112
index=167, ans=false, vars=46344, clauses=273409
index=168, ans=false, vars=18394, clauses=140231
index=169, ans=false, vars=21809, clauses=159157
index=170, ans=false, vars=26916, clauses=177434
index=171, ans=false, vars=40678, clauses=258317
index=172, ans=false, vars=32287, clauses=231132
index=173, ans=false, vars=14185, clauses=114660
index=174, ans=false, vars=28472, clauses=194430
index=175, ans=true, vars=27503, clauses=205244
index=176, ans=false, vars=31349, clauses=192333
index=177, ans=false, vars=32441, clauses=202285
index=178, ans=false, vars=44628, clauses=300453
index=179, ans=false, vars=38691, clauses=255098
index=180, ans=true, vars=44032, clauses=248153
index=181, ans=false, vars=41057, clauses=260177
index=182, ans=false, vars=29956, clauses=194672
index=183, ans=false, vars=40708, clauses=237674
index=184, ans=false, vars=22881, clauses=164968
index=185, ans=false, vars=48952, clauses=276746
index=186, ans=false, vars=32664, clauses=204725
index=187, ans=true, vars=43517, clauses=240386
index=188, ans=false, vars=21984, clauses=165727
index=189, ans=false, vars=30234, clauses=192792
index=190, ans=true, vars=31544, clauses=207860
index=191, ans=true, vars=46273, clauses=299134
index=192, ans=false, vars=20526, clauses=145715
index=193, ans=false, vars=24703, clauses=161624
index=194, ans=false, vars=52134, clauses=325916
index=195, ans=false, vars=39635, clauses=254598
index=196, ans=true, vars=37692, clauses=234552
index=197, ans=false, vars=37574, clauses=222151
index=198, ans=false, vars=78806, clauses=430344
index=199, ans=false, vars=30580, clauses=205400
index=200, ans=false, vars=28830, clauses=179369
index=201, ans=false, vars=38509, clauses=265523
index=202, ans=false, vars=27121, clauses=179994
index=203, ans=false, vars=34635, clauses=231191
index=204, ans=true, vars=29090, clauses=198241
index=205, ans=true, vars=31362, clauses=200044
index=206, ans=false, vars=31036, clauses=208657
index=207, ans=false, vars=34331, clauses=224776
index=208, ans=false, vars=32546, clauses=208931
index=209, ans=false, vars=43754, clauses=247179
index=210, ans=false, vars=38165, clauses=264694
index=211, ans=false, vars=63321, clauses=374969
index=212, ans=true, vars=48857, clauses=287825
index=213, ans=false, vars=23337, clauses=165422
index=214, ans=true, vars=64455, clauses=359721
index=215, ans=false, vars=30278, clauses=186549
index=216, ans=false, vars=24945, clauses=172903
index=217, ans=false, vars=24398, clauses=158854
index=218, ans=false, vars=17825, clauses=150260
index=219, ans=false, vars=44734, clauses=277617
index=220, ans=true, vars=58502, clauses=358084
index=221, ans=false, vars=45650, clauses=256711
index=222, ans=true, vars=23003, clauses=171754
index=223, ans=false, vars=41070, clauses=263601
index=224, ans=false, vars=20528, clauses=146800
index=225, ans=false, vars=30146, clauses=207166
index=226, ans=true, vars=31815, clauses=199815
index=227, ans=false, vars=25141, clauses=163411
index=228, ans=false, vars=32471, clauses=229406
index=229, ans=true, vars=49849, clauses=306335
index=230, ans=false, vars=25116, clauses=165428
index=231, ans=false, vars=19570, clauses=143002
index=232, ans=true, vars=24245, clauses=172016
index=233, ans=true, vars=16448, clauses=145056
index=234, ans=false, vars=34608, clauses=242689
index=235, ans=true, vars=49611, clauses=282644
index=236, ans=false, vars=12877, clauses=116951
index=237, ans=false, vars=58529, clauses=320697
index=238, ans=true, vars=64024, clauses=380822
index=239, ans=false, vars=16020, clauses=138344
index=240, ans=true, vars=31596, clauses=208600
index=241, ans=true, vars=102108, clauses=553414
index=242, ans=false, vars=31887, clauses=222330
index=243, ans=false, vars=13416, clauses=115454
index=244, ans=false, vars=28538, clauses=193391
index=245, ans=true, vars=61127, clauses=340948
index=246, ans=false, vars=37048, clauses=239988
index=247, ans=false, vars=92951, clauses=499079
index=248, ans=false, vars=42809, clauses=286044
index=249, ans=true, vars=18235, clauses=141716
index=250, ans=false, vars=27737, clauses=181671
index=251, ans=true, vars=48658, clauses=293003
index=252, ans=true, vars=54901, clauses=314481
index=253, ans=false, vars=44164, clauses=280757
index=254, ans=false, vars=13054, clauses=117660
index=255, ans=true, vars=16258, clauses=107402
index=256, ans=false, vars=50967, clauses=320159
index=257, ans=true, vars=41738, clauses=245882
index=258, ans=true, vars=45298, clauses=264562
index=259, ans=false, vars=83369, clauses=439008
index=260, ans=false, vars=71928, clauses=406454
index=261, ans=false, vars=21337, clauses=163067
index=262, ans=false, vars=31752, clauses=194460
index=263, ans=false, vars=27913, clauses=185015
index=264, ans=false, vars=49239, clauses=296521
index=265, ans=false, vars=36221, clauses=240065
index=266, ans=false, vars=30690, clauses=214345
index=267, ans=false, vars=51632, clauses=322234
index=268, ans=false, vars=64798, clauses=360225
index=269, ans=true, vars=61521, clauses=353385
index=270, ans=true, vars=46734, clauses=282425
index=271, ans=true, vars=27010, clauses=165547
index=272, ans=true, vars=57433, clauses=319471
index=273, ans=false, vars=17423, clauses=135980
index=274, ans=false, vars=45523, clauses=293610
index=275, ans=true, vars=67598, clauses=369581
index=276, ans=false, vars=28788, clauses=190364
index=277, ans=false, vars=69009, clauses=413240
index=278, ans=true, vars=42137, clauses=265150
index=279, ans=false, vars=14671, clauses=116563
index=280, ans=false, vars=15417, clauses=132232
index=281, ans=false, vars=50289, clauses=299569
index=282, ans=false, vars=33824, clauses=232601
index=283, ans=false, vars=18217, clauses=144825
index=284, ans=false, vars=34544, clauses=221121
index=285, ans=false, vars=62777, clauses=350425
index=286, ans=false, vars=29189, clauses=180798
index=287, ans=false, vars=21851, clauses=155554
index=288, ans=false, vars=37895, clauses=233398
index=289, ans=false, vars=32286, clauses=220041
index=290, ans=false, vars=21161, clauses=162157
index=291, ans=true, vars=85344, clauses=469272
index=292, ans=true, vars=39643, clauses=252531
index=293, ans=true, vars=96725, clauses=509967
index=294, ans=false, vars=85140, clauses=478691
index=295, ans=false, vars=42733, clauses=271448
index=296, ans=false, vars=43611, clauses=254667
index=297, ans=false, vars=24040, clauses=160917
index=298, ans=false, vars=18404, clauses=140488
index=299, ans=false, vars=19058, clauses=152689
index=300, ans=true, vars=48566, clauses=302748
index=301, ans=true, vars=50137, clauses=320619
index=302, ans=false, vars=40015, clauses=244729
index=303, ans=false, vars=46272, clauses=296613
index=304, ans=true, vars=50396, clauses=313565
index=305, ans=false, vars=30329, clauses=200953
index=306, ans=true, vars=43897, clauses=288896
index=307, ans=false, vars=36025, clauses=254093
index=308, ans=false, vars=55195, clauses=313409
index=309, ans=false, vars=37207, clauses=238260
index=310, ans=true, vars=37677, clauses=246688
index=311, ans=false, vars=26592, clauses=187989
index=312, ans=false, vars=36605, clauses=223127
index=313, ans=false, vars=24886, clauses=161296
index=314, ans=false, vars=54486, clauses=332747
index=315, ans=false, vars=83290, clauses=481168
index=316, ans=false, vars=14910, clauses=130935
index=317, ans=true, vars=45948, clauses=276280
index=318, ans=false, vars=15043, clauses=123708
index=319, ans=false, vars=14555, clauses=126557
index=320, ans=false, vars=15909, clauses=123378
index=321, ans=false, vars=46929, clauses=281543
index=322, ans=false, vars=16238, clauses=95693
index=323, ans=false, vars=15637, clauses=116414
index=324, ans=false, vars=67691, clauses=398584
index=325, ans=false, vars=18207, clauses=148300
index=326, ans=false, vars=24052, clauses=172934
index=327, ans=false, vars=34309, clauses=234283
index=328, ans=true, vars=57919, clauses=330776
index=329, ans=false, vars=40368, clauses=247889
index=330, ans=false, vars=36131, clauses=225625
index=331, ans=true, vars=42704, clauses=267411
index=332, ans=true, vars=33633, clauses=218877
index=333, ans=true, vars=49252, clauses=299143
index=334, ans=false, vars=18054, clauses=134332
index=335, ans=true, vars=34497, clauses=225219
index=336, ans=true, vars=34655, clauses=212615
index=337, ans=false, vars=51062, clauses=290204
index=338, ans=false, vars=29420, clauses=200639
index=339, ans=true, vars=69552, clauses=371176
index=340, ans=false, vars=20856, clauses=144439
index=341, ans=true, vars=36927, clauses=218182
index=342, ans=true, vars=30796, clauses=230367
index=343, ans=false, vars=66855, clauses=376287
index=344, ans=false, vars=56066, clauses=341967
index=345, ans=true, vars=30336, clauses=200282
index=346, ans=false, vars=21091, clauses=153189
index=347, ans=false, vars=45050, clauses=262965
index=348, ans=false, vars=34681, clauses=237126
index=349, ans=false, vars=24886, clauses=180978
index=350, ans=false, vars=30206, clauses=198598
index=351, ans=true, vars=28013, clauses=189201
index=352, ans=false, vars=44179, clauses=259061
index=353, ans=true, vars=41426, clauses=244914
index=354, ans=false, vars=41978, clauses=255016
index=355, ans=false, vars=111761, clauses=595442
index=356, ans=false, vars=86101, clauses=488071
index=357, ans=true, vars=43123, clauses=266181
index=358, ans=false, vars=7859, clauses=96005
index=359, ans=true, vars=55916, clauses=332332
index=360, ans=false, vars=39238, clauses=229694
index=361, ans=true, vars=31718, clauses=215005
index=362, ans=false, vars=13324, clauses=128391
index=363, ans=false, vars=18488, clauses=131102
index=364, ans=false, vars=34590, clauses=226160
index=365, ans=false, vars=41760, clauses=275385
index=366, ans=true, vars=22336, clauses=170842
index=367, ans=false, vars=49563, clauses=298154
index=368, ans=false, vars=30419, clauses=202725
index=369, ans=false, vars=17563, clauses=157793
index=370, ans=true, vars=34671, clauses=201163
index=371, ans=false, vars=39404, clauses=260590
index=372, ans=true, vars=66214, clauses=380953
index=373, ans=false, vars=34517, clauses=213421
index=374, ans=false, vars=28500, clauses=202717
index=375, ans=false, vars=35317, clauses=234659
index=376, ans=false, vars=44512, clauses=274082
index=377, ans=false, vars=56264, clauses=340931
index=378, ans=false, vars=10502, clauses=98109
index=379, ans=false, vars=48927, clauses=279129
index=380, ans=false, vars=75232, clauses=447864
index=381, ans=false, vars=23155, clauses=189618
index=382, ans=false, vars=36047, clauses=216696
index=383, ans=true, vars=38382, clauses=224123
index=384, ans=false, vars=46630, clauses=276758
index=385, ans=false, vars=22840, clauses=174819
index=386, ans=true, vars=33286, clauses=244621
